ID,regaty,klub,miejsceWRegatach
43815065,72731202,POW,2
8550421,72731202,YZ2,3
54799108,72731202,YKW,4
29923612,72731202,RBP,5
68354990,72731202,HAL,6
36739830,72731202,WTR,7
72678588,72731202,SAT,8
87572839,72731202,PJ2,9
25087610,71128501,HAL,1
94020763,71128501,MIC,2
54964160,71128501,YZ2,3
6978978,71128501,POW,4
70685442,71128501,SAT,5
71004340,71128501,YKW,6
23723973,71128501,RBP,7
44805838,71128501,PJ2,8
76787361,71128501,WTR,9
23682384,98027676,ONB,1
71661285,98027676,NSZ,2
44129008,98027676,YKW,3
34213605,98027676,BSA,4
96539501,98027676,MEC,5
21634187,98027676,SRC,6
65933876,98027676,R2S,7
36875785,98027676,YZ2,8
17461334,98027676,SOL,9
34282454,98027676,RBP,10
49938285,98027676,HEA,11
79411965,75270731,MEC,1
73255887,75270731,YKW,2
22105258,75270731,BSA,3
61336063,75270731,ONB,4
97956472,75270731,YZ2,5
39935487,75270731,NSZ,6
7335645,75270731,SOL,7
10515578,75270731,RBP,8
86464760,75270731,HEA,9
79088197,75270731,SRC,10
42619819,75270731,R2S,11
66627069,44960821,ONB,1
65636216,44960821,MEC,2
46131964,44960821,BSA,3
85765817,44960821,NSZ,4
71402724,44960821,YKW,5
37578010,44960821,SOL,6
74169701,44960821,R2S,7
68358410,44960821,YZ2,8
92693930,44960821,RBP,9
65964761,44960821,HEA,10
37788068,44960821,SRC,11
28578014,44960821,AZS,12
86713710,39731721,BSA,1
8113958,39731721,NSZ,2
14006924,39731721,MEC,3
10848505,39731721,ONB,4
97605658,39731721,YKW,5
12486193,39731721,AZS,6
7845921,39731721,YZ2,7
86120089,39731721,RBP,8
49282285,39731721,SRC,9
4059852,39731721,HEA,10
976855,77100366,JKW,1
39244061,77100366,JKM,2
45072913,77100366,YCS,3
89063808,77100366,YKS,4
31016664,77100366,OST,5
47329838,77100366,MUKZ,6
87669929,77100366,GOR,7
49492060,77100366,DZY,8
9782735,77100366,HORN,9
95875691,42322105,YKS,1
83761619,42322105,JKW,2
17151376,42322105,GOR,3
53001793,42322105,JKM,4
84782455,42322105,YCS,5
74271764,42322105,MUKZ,6
17151376,42322105,GOR,7
82230607,42322105,DZY,8
50725799,73972099,MOS,1
11340810,73972099,YCS,2
6026687,73972099,YKS,3
17405023,73972099,JKW,4
7074515,73972099,GOR,5
46925386,73972099,JKM,6
97665487,73972099,DZY,7
95413683,73972099,MUKZ,8
59047876,73972099,OST,9
19669464,73972099,YKW,10
28859307,1584594,YCS,1
89432271,1584594,MOS,2
22295297,1584594,YKS,3
91951103,1584594,GOR,4
61044371,1584594,JKW,5
80429204,1584594,GRY,6
49268096,1584594,DZY,7
5615212,1584594,OST,8
3210792,1584594,MUKZ,9
35794693,1584594,YKW,10
11978384,46476906,RMR,1
57490809,46476906,TZR,2
32842827,46476906,YCS,3
96194698,46476906,DZY,4
27651592,46476906,GKZ,5
3267516,46476906,JKKP,6
29931142,46476906,PGR,7
71549215,46476906,MOS,8
62651365,46476906,JKW,9
62478791,46476906,SZT,10
56072133,46476906,JKM,11
92656958,46476906,REW,12
71526745,46476906,AWK,13
864048,34786669,JKKP,1
11397403,34786669,TZR,2
20328160,34786669,RMR,3
43339913,34786669,SZT,4
73576448,34786669,JKW,5
41983201,34786669,AWK,6
16470360,34786669,PGR,7
44345769,34786669,DZY,8
33903071,34786669,JKM,9
32854398,34786669,YCS,10
68809469,34786669,REW,11
43113811,34786669,GKZ,12
85346625,59734039,PGR,1
94071286,59734039,REW,2
30775046,59734039,MOS,3
75906059,59734039,GKZ,4
47148158,59734039,SZT,5
64293775,59734039,JKKP,6
39671726,59734039,JKW,7
83380647,59734039,AWK,8
88028283,59734039,JKM,9
9467839,59734039,TZR,10
72763399,59734039,YCS,11
76371965,59734039,RMR,12
98460312,59734039,DZY,13
24132406,80803598,MOS,1
14181996,80803598,PGR,2
1753669,80803598,YCS,3
29676701,80803598,RMR,4
9114613,80803598,JKKP,5
6634117,80803598,TZR,6
92506216,80803598,AWK,7
59186947,80803598,GKZ,8
76432938,80803598,JKW,9
63175572,80803598,JKM,10
26188569,80803598,DZY,11
94200184,80803598,SZT,12
49950360,80803598,REW,13
77363509,16861691,MOS,1
94481302,16861691,JKKP,2
45338898,16861691,YCS,3
62877785,16861691,TZR,4
73551962,16861691,LEGIA,5
31689344,16861691,YCG,6
33633573,16861691,KPM,7
58755369,16861691,JKM,8
33785531,16861691,YCS AWF,9
11579074,16861691,DZYGIT,10
86539296,16861691,OKZ,11
49630305,16861691,JKW,12
68524271,52984811,JKKP,1
8041031,52984811,TZR,2
73821585,52984811,MOS,3
74146998,52984811,OKZ,4
55549830,52984811,YCS,5
25549878,52984811,DZYGIT,6
86400093,52984811,JKM,7
45633089,52984811,YCS AWF,8
26283875,52984811,YCG,9
70742965,85657695,YCS,1
52437241,85657695,JKKP,2
55759493,85657695,OKZ,3
78677056,85657695,MOS,4
54514440,85657695,DZYGIT,5
76705431,85657695,LEGIA,6
43217194,85657695,JKM,7
11171380,85657695,YCG,8
88102813,85657695,TZR,9
44477534,85657695,YCS AWF,10
56624050,85326506,YCS,1
33769141,85326506,OKZ,2
91549625,85326506,MOS,3
65040505,85326506,JKKP,4
28568226,85326506,TZR,5
12791571,85326506,LEGIA,6
46585342,85326506,YCS AWF,7
95481375,85326506,JKM,8
90588912,85326506,DZYGIT,9
98376428,76884717,JEZ,1
14363112,76884717,OKZ,2
70548514,76884717,POG,3
76493962,76884717,JK2,4
17843771,76884717,DZY,5
37656916,76884717,YCS,6
87602917,76884717,LEG,7
2588172,76884717,JKM,8
48888157,76884717,WTZ,9
16709361,76884717,ODY,10
80398117,76884717,YC2,11
25448474,76884717,BOL,12
89278545,42903369,POG,1
54093592,42903369,JEZ,2
24405004,42903369,LEG,3
67002747,42903369,OKZ,4
58230139,42903369,JK2,5
60947379,42903369,JKM,6
86525740,42903369,WTZ,7
77263603,42903369,YCS,8
69022629,42903369,DZY,9
42448440,42903369,ODY,10
24838153,42903369,YC2,11
83777408,42903369,BOL,12
62229536,79990660,OKZ,1
62306072,79990660,YCS,2
20968671,79990660,JKM,3
6136850,79990660,JEZ,4
2283067,79990660,ODY,5
73790034,79990660,LEG,6
17015481,79990660,POG,7
76078459,79990660,WTZ,8
55249392,79990660,YC2,9
46053727,79990660,BOL,10
78730119,79990660,DZY,11
74955387,79990660,ZEG,12
61893282,23503367,OKZ,1
56616951,23503367,LEG,2
41542103,23503367,JEZ,3
83077024,23503367,POG,4
21431859,23503367,YCS,5
10555126,23503367,ODY,6
3163896,23503367,YC2,7
60613466,23503367,JKM,8
61982981,23503367,DZY,9
66755436,23503367,WTZ,10
4528065,23503367,ZEG,11
42626098,23503367,BOL,12
31182780,56840754,OKZ,1
4473941,56840754,LEG,2
74292477,56840754,JEZ,3
65712064,56840754,GIŻ,4
53881417,56840754,IS2,5
6849934,56840754,SZT,6
74253003,56840754,POG,7
34314489,56840754,DZY,8
59103076,56840754,YCS,9
76370767,56840754,JKM,10
60912784,56840754,OD2,11
27410355,56840754,ODY,12
62437844,81519758,IS2,1
70549986,81519758,JEZ,2
8141602,81519758,GIŻ,3
99184824,81519758,LEG,4
13516197,81519758,SZT,5
26285287,81519758,POG,6
86158697,81519758,OKZ,7
68301875,81519758,JKM,8
81740466,81519758,OD2,9
94762354,81519758,DZY,10
63523293,81519758,YCS,11
53007608,81519758,ODY,12
98163738,40323829,GIŻ,1
30752635,40323829,JEZ,2
74069057,40323829,POG,3
38649272,40323829,LEG,4
