ID_wynikRegat,regaty,klub,miejsceWRegatach
,94367801,YKS,16
,94367801,OCC,17
,94367801,PGR,18
,74940339,YCG,1
,74940339,YCS,2
,74940339,NSO,3
,74940339,YKL,4
,74940339,POG,5
,74940339,PGR,6
,74940339,SPO,7
,74940339,RSR,8
,74940339,AWF,9
,74940339,HRM,10
,74940339,WRO,11
,74940339,LEG,12
,74940339,OCC,13
,74940339,WAT,14
,74940339,YKS,15
,74940339,WOL,16
,74940339,YKP,17
,74940339,KKZ,18
,133713,RSR,1
,133713,HRM,2
,133713,YCG,3
,133713,YKP,4
,133713,POG,5
,133713,NIE,6
,133713,YCS,7
,133713,AWF,8
,133713,SZT,9
,133713,ONB,10
,133713,WRO,11
,133713,WAT,12
,133713,LEG,13
,133713,SPO,14
,133713,ISK,15
,133713,NSO,16
,133713,YKL,17
,133713,YKS,18
,14732889,YCG,1
,14732889,NSO,2
,14732889,YKP,3
,14732889,YKL,4
,14732889,POG,5
,14732889,SPO,6
,14732889,YKS,7
,14732889,HRM,8
,14732889,ONB,9
,14732889,NIE,10
,14732889,YCS,11
,14732889,AWF,12
,14732889,WAT,13
,14732889,LEG,14
,14732889,WRO,15
,14732889,RSR,16
,14732889,SZT,17
,14732889,ISK,18
,72158401,NSO,1
,72158401,YCS,2
,72158401,RSR,3
,72158401,YKP,4
,72158401,ONB,5
,72158401,ISK,6
,72158401,YKS,7
,72158401,YKL,8
,72158401,YCG,9
,72158401,SPO,10
,72158401,POG,11
,72158401,AWF,12
,72158401,HRM,13
,72158401,SZT,14
,72158401,LEG,15
,72158401,NIE,16
,72158401,WRO,17
,72158401,WAT,18
,66750266,HRM,1
,66750266,YCG,2
,66750266,RSR,3
,66750266,NSO,4
,66750266,YCS,5
,66750266,POG,6
,66750266,NIE,7
,66750266,ONB,8
,66750266,YKP,9
,66750266,LEG,10
,66750266,WAT,11
,66750266,SPO,12
,66750266,YKL,13
,66750266,SZT,14
,66750266,AWF,15
,66750266,ISK,16
,66750266,YKS,17
,66750266,WRO,18
,41227949,PGR,1
,41227949,YCJ,2
,41227949,AMW,3
,41227949,HRM,4
,41227949,OKZ,5
,41227949,LAM,6
,41227949,YCS,7
,41227949,INP,8
,41227949,NAU,9
,41227949,MUS,10
,41227949,YCY,11
,41227949,RRS,12
,41227949,MAG,13
,41227949,PRO,14
,28212392,HRM,1
,28212392,PGR,2
,28212392,YCJ,3
,28212392,MUS,4
,28212392,INP,5
,28212392,NAU,6
,28212392,OKZ,7
,28212392,RRS,8
,28212392,YCS,9
,28212392,LAM,10
,28212392,AMW,11
,28212392,YCY,12
,28212392,MAG,13
,28212392,PRO,14
,86083690,PGR,1
,86083690,INP,2
,86083690,HRM,3
,86083690,LAM,4
,86083690,AMW,5
,86083690,YCY,6
,86083690,YCJ,7
,86083690,MUS,8
,86083690,NAU,9
,86083690,YCS,10
,86083690,RRS,11
,86083690,OKZ,12
,86083690,MAG,13
,86083690,PRO,14
