plik,poziom_z_folderu,klub
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,Ekstraklasa,OKZ
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,Ekstraklasa,JKM
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,Ekstraklasa,JEZ
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,Ekstraklasa,ODY
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,Ekstraklasa,LEG
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,Ekstraklasa,POG
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,Ekstraklasa,WTZ
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,Ekstraklasa,YC2
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,Ekstraklasa,BOL
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,Ekstraklasa,DZY
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,Ekstraklasa,ZEG
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,Ekstraklasa,OKZ
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,Ekstraklasa,LEG
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,Ekstraklasa,JEZ
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,Ekstraklasa,POG
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,Ekstraklasa,ODY
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,Ekstraklasa,YC2
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,Ekstraklasa,JKM
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,Ekstraklasa,DZY
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,Ekstraklasa,WTZ
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,Ekstraklasa,ZEG
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,Ekstraklasa,BOL
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,1 Liga,YCG
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,1 Liga,YKP
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,1 Liga,WOL
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,1 Liga,77R
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,1 Liga,JSG
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,1 Liga,JMZ
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,1 Liga,AWF
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,1 Liga,POW
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,1 Liga,LAS
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,1 Liga,YCG
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,1 Liga,77R
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,1 Liga,YKP
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,1 Liga,WOL
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,1 Liga,JSG
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,1 Liga,AWF
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,1 Liga,POW
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,1 Liga,JMZ
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,1 Liga,LAS
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,1 Liga,YCG
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,1 Liga,WOL
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,1 Liga,77R
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,1 Liga,JMZ
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,1 Liga,YKP
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,1 Liga,JSG
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,1 Liga,AWF
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,1 Liga,LAS
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,1 Liga,POW
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,1 Liga,YKP
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,1 Liga,YCG
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,1 Liga,AWF
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,1 Liga,WOL
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,1 Liga,JMZ
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,1 Liga,77R
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,1 Liga,JSG
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,1 Liga,LAS
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,1 Liga,POW
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,Ekstraklasa,OKZ
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,Ekstraklasa,LEG
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,Ekstraklasa,JEZ
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,Ekstraklasa,GIŻ
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,Ekstraklasa,IS2
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,Ekstraklasa,SZT
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,Ekstraklasa,POG
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,Ekstraklasa,DZY
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,Ekstraklasa,JKM
